楼层,馆号,馆名,文物,name,方块坐标,长,宽,level,朝代,age,cm,like,点赞数,图片链接,介绍
1,0,中国古代青铜馆,大克鼎,大克鼎,"5,-8.5,-11",1.5,1.5,一级,2,-1030,93.1,475,475,https://img1.imgtp.com/2022/06/04/rWDEAhqm.jpg,"此鼎器壁厚实,形制雄伟。口沿下饰三组变形面纹,并间以六道短棱脊,腹部是宽大的波曲纹,婉转流畅"
1,0,中国古代青铜馆,龙纹方壶,龙纹方壶,"-6,-5.5,-3",1,2,一级,4,-561,91,400,400,https://img1.imgtp.com/2022/06/07/8ei8cdyz.jpg,"盖的抓手内饰交龙纹,盖边饰变形善纹一周,器颈饰波曲纹,腹部饰交龙纹,居中是一个离浮雕的龙头,体向两弯曲展开,其末端是尖角龙首,左右上下各有一长冠龙和弯角龙腹部侧面的纹饰与正面路有不同。"
1,0,中国古代青铜馆,棘刺纹尊,棘刺纹尊,"0.5,-6.5,-29.5",1,4,三级,4,-226,29,378,378,https://img1.imgtp.com/2022/06/07/Lx7Ek8ek.jpg,"方格内饰雷纹和宽条形的变形兽纹一一相间,腹部纹饰呈直条状,由宽条的变形兽纹和棘刺纹相间,与颈部和圈足的纹饰作交错排列。"
1,0,中国古代青铜馆,见日之光,见日之光,"-13.5,-8.5,-30.5",1.5,2,一级,5,-1198,26,367,367,https://img1.imgtp.com/2022/06/07/tJLFmajA.jpg,"见日之光”透光镜半圆钮,圆钮座,内区为卷云纹,外围铭文一周,为“见日之光,天下大明八字,这是汉代铜镜的习惯用语,每两字之间夹有一个符号。"
1,0,中国古代青铜馆,镶嵌几何纹敦,镶嵌几何纹敦,"17,-5,-40.5",4,1,一级,5,-221,112,300,300,https://img1.imgtp.com/2022/06/06/MUnrzuk0.jpg,"方壶在战国中晚期比较流行,秦汉时期又称为纺”。口略侈,设平顶四网式方形素盖,盖四角各设一环,两侧设兽首环耳,铸造精细。"
1,0,中国古代青铜馆,父乙觥,父乙觥,"7,-8.5,28",1.5,1.5,一级,5,-1295,124,239,239,https://img1.imgtp.com/2022/06/04/15LoDpDS.jpg,"盛器,盖前端作龙头,双角内向有钩状小枝,头部有兔形长耳,完全是超自然的物象。自额顶正中起向后有一条棱作立式小龙,尾上卷,体部较长。"
1,0,中国古代青铜馆,仲壶,仲壶,"-6,-5.5,-5.5",1,2,一级,5,-619,98,234,234,https://img1.imgtp.com/2022/06/07/7HFUraCn.jpg,"盖沿及圈足饰对称曲折体的蛇纹,器颈中央设一浮雕兽首,两侧饰对称鸟纹,弯曲的鸟特长,盖面及腹部饰对称卷体兽纹,仅存播曲的躯体和尾部,省略了头部。"
1,0,中国古代青铜馆,错金银鸟兽形盉,错金银鸟兽形盉,"5,-5.5,-32.5",3,1,一级,6,-750,16,231,231,https://img1.imgtp.com/2022/06/07/IEK6AFRM.jpg,"鸟首兽身形,短颈,盖顶有系,套铸于提梁后部的钮中,盖缘饰交龙纹。设半圆形提梁,前为虎头,四足跨于器颈口沿的前后,后端有一段象征性的尾羽。"
1,0,中国古代青铜馆,晋侯苏钟,晋侯苏钟,"3,-6.5,-23.5",1,4,一级,4,-708,63,231,231,https://img1.imgtp.com/2022/06/07/UBDgwHD4.jpg,"共有十六枚,上海博物馆藏有十四,尚有二枚存山西省文物考古研究所。整组编钟有三种形式,自西周中期到晚期的都有,当时是根据谐音无铭钟凑起来,再分整篇铭文。"
1,0,中国古代青铜馆,虎簋,虎簋,"17,-8.5,-15",2,1.5,三级,5,-603,93,231,231,https://img1.imgtp.com/2022/06/07/E0higDo6.jpg,"器盖顶部作莲瓣形捉手,腰部两侧设龙首耳垂琪。盖面、部及方座的四壁均饰流转的波曲纹,龙首耳附饰重环纹,口沿和圈足饰由动物纹变形而来的窃曲纹,口沿的窃曲纹兽目突出,圈足之纹饰则省路兽目。"
1,0,中国古代青铜馆,镶嵌十字纹方钺,镶嵌十字纹方钺,"-3,-8.5,7",1.5,1.5,一级,5,-1322,100,225,225,https://img1.imgtp.com/2022/06/04/O6fzAl9R.jpg,"是古代青铜器中的兵器。这种大型并非实用器,而可能是作为仪仗或军事权利的象征,是体现贵族统治权利和身份的一种标志。"
1,0,中国古代青铜馆,古方尊,古方尊,"18.5,-5.9,32",2,1,三级,5,-1521,104,222,222,https://img1.imgtp.com/2022/06/07/ZBwB5wyr.jpg,"此器圆口方体,下承高圈足,形制与商代的大口有尊不同,器形较为少见。自口至圈足均匀地设置四条钩状棱脊。"
1,0,中国古代青铜馆,鲁侯尊,鲁侯尊,"16,-5.9,32",2,1,二级,2,-933,41,222,222,https://img1.imgtp.com/2022/06/07/NTtREHrP.jpg,"整体朴素无纹饰,但作多节状,每节凹凸相间,展望起伏的层次,有一种朴质厚重的感觉。尤其是首耳的根部到器的底部,伸展出宽厚弧曲的
垂翼,更增加了器物的稳重感。"
1,0,中国古代青铜馆,龙耳尊,龙耳尊,"-3,-8.5,-28.5",1.5,2,三级,4,-510,49,200,200,https://img1.imgtp.com/2022/06/07/DLHhU8wK.jpg,"该尊的体型较大,腹两饰龙形把手,龙首回顾,尾上卷,有四爪与腹相接,相接的部位有明显的结疤焊痕,这是先铸成器再覆铸龙耳的铸焊痕迹。"
1,0,中国古代青铜馆,龙纹扁足鼎,龙纹扁足鼎,"11,-8.5,19",1.5,1.5,三级,5,-538,32,200,200,https://img1.imgtp.com/2022/06/07/IkcSomoe.jpg,"扁足作三龙上腾状,张口托住鼎体,龙有长鼻和器上的纹样相应,体躯还饰有小段的鳞纹。鼎的部饰卷尾的长鼻兽纹,兽纹的主体呈宽条状,饰有较疏的雪纹,而主体纹饰的外侧则是极其精细的雷纹。"
1,0,中国古代青铜馆,史尸簠,史尸簠,"17,-6.5,-24.9",4,1,三级,5,-1122,91,146,146,https://img1.imgtp.com/2022/06/07/lJJCPVTM.jpg,"器盖相同,器、盖两侧各设兽首环耳。器物整体饰三种不同形式的龙纹,口缘是连续式的卷体龙纹,腹壁是交连龙纹,圈足则是相背爬行式的天冠龙纹。"
1,0,中国古代青铜馆,子仲姜盘,子仲姜盘,"15,-8.5,-11",1.5,1.5,一级,4,-1208,18,146,146,https://img1.imgtp.com/2022/06/04/4qPxG0LY.jpg,方唇、折沿、浅腹，底接圈足，下附三卷尾虎支足。双附耳，附耳高出盘沿甚多；与附耳呈对角的位置另有双兽形鋬，曲角圆眼、四肢攀附器腹，口啣盘沿，作探水状。
1,0,中国古代青铜馆,师遽方彝,师遽方彝,"-6,-5.5,-8",1,2,三级,4,-1007,98,145,145,https://img1.imgtp.com/2022/06/07/jzA9OzAM.jpg,"在腹部两各设一象鼻形耳,长上卷。方器内设有中壁,将容酒的部位分隔成两室,可以放置不同的酒。盖一侧的下沿有两个方形缺口,与器的两室对应,可置小酒勺,今已遗失。"
1,0,中国古代青铜馆,父庚觯,父庚觯,"10,-5.9,26.5",1,2.5,三级,3,-420,32,145,145,https://img1.imgtp.com/2022/06/07/uNhvpcYt.jpg,"这件器物优美精巧,口,长颈,垂腹,下有圈足外,是西周早期式样。颈部饰蕉叶纹,内有变形曾体纹,中腰饰一周分尾对称鸟纹,腹部饰对称伫立式大凤纹,长冠,尾部下垂,鸟爪甚为劲利。"
1,0,中国古代青铜馆,刻纹宴乐画像纹杯,刻纹宴乐画像纹杯,"10,-5.5,-32.5",3,1,二级,4,-741,96,133,133,https://img1.imgtp.com/2022/06/07/o26jZ2Fq.jpg,"这个杯的内外及底部都有图像,用极锐利的菌,线条细如毛发,几乎为自力所不及。杯内横处设建筑一所,两旁有人级而上,一人手中豆,另一人所物已钱。"
1,0,中国古代青铜馆,德方鼎,德方鼎,"15.5,-5.9,16.5",4,1,三级,5,-819,83,133,133,https://img1.imgtp.com/2022/06/07/trFq3oK5.jpg,"这件鼎的四角及每一面的中线皆出棱脊,四壁饰曲折角兽面纹,兽面纹仅有头部而无体躯,角型甚大,西周早期的曾角外缘常有华美的形饰,
两侧设倒置的小龙。"
1,0,中国古代青铜馆,兽面纹壶,兽面纹壶,"7,-8.5,19",1.5,1.5,三级,4,-841,111,132,132,https://img1.imgtp.com/2022/06/04/ZcAy6w6G.jpg,"壶是盛酒器,小口,长颈,口上设内插式的盖此壶口沿下有三道突起的纹,启部饰抽象的兽纹,善目突出"
1,0,中国古代青铜馆,兽面纹龙流盉,兽面纹龙流盉,"-3,-8.5,-32.5",1.5,1.5,三级,2,-734,86,123,123,https://img1.imgtp.com/2022/06/07/4xzupW1o.jpg,"此器设碗状的盖,盖顶是蟠旋而出的龙头,盖边和颈旁各设一钮,应有短链相联,今已遗失。流为张口的龙形,与之对应的,上端亦饰龙首。"
1,0,中国古代青铜馆,五牛枕,五牛枕,"-3,-8.5,-18.5",1.5,2,三级,4,-585,48,123,123,https://img1.imgtp.com/2022/06/07/4NMfpWhw.jpg,"枕作马鞍形,两端上各铺一牛,一侧无纹饰,另一以虎纹、勾连纹为地纹,其上有浮立牛三头。"
1,0,中国古代青铜馆,师袁簋,师袁簋,"19,-8.5,-11",1.5,1.5,一级,6,-794,127,122,122,https://img1.imgtp.com/2022/06/07/kvucaThH.jpg,"此盖缘及器口沿饰窃曲纹,圈足饰鳞纹,腹部饰瓦棱纹。器盖同铭一百十七字,铭文记录对师(huan授命淮的战功命。"
1,0,中国古代青铜馆,吴王光剑,吴王光剑,"-1,-5,-40.5",4,1,一级,4,-1046,104,108,108,https://img1.imgtp.com/2022/06/04/rWDEAhqm.jpg,"此鼎器壁厚实,形制雄伟。口沿下饰三组变形面纹,并间以六道短棱脊,腹部是宽大的波曲纹,婉转流畅"
1,0,中国古代青铜馆,牺尊,牺尊,"16,-8.5,-28.5",1.5,1.5,二级,7,-1536,103,106,106,https://img1.imgtp.com/2022/06/04/sJm1C40F.jpg,"尊作水牛形,及背上设三穴,中穴还留有可装酒的釜形器,两旁为空穴,盖皆已遗失。牛腹中空,用以注热水,故此尊当为温酒器。"
1,0,中国古代青铜馆,母癸,母癸,"7.5,-8.5,8",1.5,1.5,二级,5,-973,48,100,100,https://img1.imgtp.com/2022/06/07/l9TPVgjc.jpg,"瓶是蒸食器,全器分为上下两部分,上为,用以盛放谷物,下为高,用以煮水,中间设算用以通气蒸食。"
1,0,中国古代青铜馆,八牛贮贝器,八牛贮贝器,"-3,-8.5,-23.5",1.5,2,二级,2,-1329,113,99,99,https://img1.imgtp.com/2022/06/04/GhW8T7oD.jpg,"云南江川李家山出土。器身作圆桶形,上大下小,中束腰,平底下置有三个爪形足。腰部有对称的虎形耳,虎作向上攀状,侧首咆哮。"
1,0,中国古代青铜馆,透雕蟠龙纹鼓座,透雕蟠龙纹鼓座,"10,-8.5,-37.5",1.5,1.5,二级,3,-1300,20,94,94,https://img1.imgtp.com/2022/06/04/m2AwJzql.jpg,"在半球体的鼓面上,攀爬着十二条作相互燃咬状的圆雕蟠龙,最下面一层的龙首口衔大圆环。十二条龙的双目中空,龙角两端为空形,原先应该都有镶嵌物"
1,0,中国古代青铜馆,变形兽面纹铙,变形兽面纹铙,"0.5,-6.5,-23.5",1,4,一级,4,-273,44,90,90,https://img1.imgtp.com/2022/06/07/KnDsY6cZ.jpg,"变形兽面纹的鼓部中央饰双尾龙纹,主体纹饰似兽面而实非商周兽面纹的变形纹饰,呈界栏式,兽面的双目尚能识。整个纹饰的中线相当于兽面纹的梁,兽面纹应有的角、眉和明嘴的特点皆无。"
1,0,中国古代青铜馆,乳钉纹管流爵,乳钉纹管流爵,"-3.5,-5.9,12.5",2,1,三级,1,-890,103,90,90,https://img1.imgtp.com/2022/06/07/JSMyUnyF.jpg,"这件器物在长颈的一侧有斜置的管流,使得容器内的液体可以倾出,是一种注酒或的酒的器具。容器的底部有一圈宽且有圆孔的假腹,假腹下设三足已经残失,这是根据考古资料复原而成。"
1,0,中国古代青铜馆,小臣卣,小臣卣,"19,-8.5,25",1.5,1.5,一级,6,-951,36,90,90,https://img1.imgtp.com/2022/06/07/uNhvpcYt.jpg,"此器高盖作屋顶形,肩两侧设提梁,提梁两端置圆雕兽首形,盖和器的四隅有扁平形的扉棱,整器显得端庄而厚重。器物通体搭配有序地装饰有不同的龙纹、鸟纹和兽面纹等,纹饰爽朗,不施地纹。"
1,0,中国古代青铜馆,兽面纹斝,兽面纹斝,"3.5,-8.5,19",1.5,1.5,二级,4,-1149,65,86,86,https://img1.imgtp.com/2022/06/04/xfRzxjdv.jpg,"腹部作分裆,呈袋状,每一个鼓起的袋腹下部都有相应的空心锥足。商代中期的青铜通常以圆腹平底者居多,此器在造型上吸收了商的特点,颈、腹分段袋式。"
1,0,中国古代青铜馆,吴王夫差盉,吴王夫差盉,"20,-8.5,-28.5",1.5,1.5,二级,3,-590,16,78,78,https://img1.imgtp.com/2022/06/07/KYB6cMxt.jpg,"盖顶有环钮,以套铸的短链与提梁内侧的小系相连。宽向上的弧形提梁是一条镂空的龙,采用失蜡法浇铸,上饰卷龙棱脊,中间一段未设脊,便于提携。"
1,0,中国古代青铜馆,颂鼎,颂鼎,"-1,-5.5,-11.5",4,1,二级,8,-1039,103,77,77,https://img1.imgtp.com/2022/06/07/94GbRqEC.jpg,"此器腹内壁铸铭文十五行一百五十一字,大意是说:在王三年五月甲戌日,尹氏将王的命书授予史生宣读。册命中令器主颂掌管成周市
贾廿家,监督新造,积货税,以备王家的宫御之用。"
1,0,中国古代青铜馆,吴王夫差鑑,吴王夫差鑑,"-4,-8.5,-37.5",1.5,1.5,一级,9,-900,111,66,66,https://img1.imgtp.com/2022/06/06/PnvUwfAi.jpg,"这件器相传抗战期间于河南辉县出土。颈腹两侧设善首耳,套铸双环耳上端饰兽首,其额顶上又置一小兽,高出器口。"
1,0,中国古代青铜馆,交龙垂鳞纹鼎,交龙垂鳞纹鼎,"10,-8.5,-28.5",1.5,2,一级,4,-726,84,65,65,https://img1.imgtp.com/2022/06/07/Hao1KkAO.jpg,"口沿立有外的附耳,深腹,腹中部内收呈束腰状,下腹部外鼓且明显下垂,平底下置三个粗壮的蹄形足。这种束腰的特点具有鲜明的楚文化因素,不见于其他区域。"
1,0,中国古代青铜馆,效卣,效卣,"-6,-5.5,-10.5",1,2,三级,5,-770,88,56,56,https://img1.imgtp.com/2022/06/07/4lgymcv7.jpg,"器腹外鼓下垂,圈足外搬。提梁两端设有龙首,颈部装饰有顾首式小龙纹,盖面及腹部装饰对称的顾首式大凤纹,凤首顶部的长冠分为两枝,一枝垂于颈部后侧,一枝卷曲于体前"
1,0,中国古代青铜馆,甲簋,甲簋,"4.5,-8.5,8",1.5,1.5,三级,5,-1091,51,56,56,https://img1.imgtp.com/2022/06/07/trFq3oK5.jpg,"盛放稷梁的器皿。此器侈口直腹,圈足下连铸方座,颈腹两设耳垂珥,是西周时期新流行的式样。"
1,0,中国古代青铜馆,黄觚,黄觚,"10,-5.9,30",1,2.5,二级,5,-897,54,56,56,https://img1.imgtp.com/2022/06/07/PJ89YCLi.jpg,"此颈部饰三角形的蕉叶纹,下端饰雷纹。腹部饰对称的倒竖式龙纹,足饰曲折角卷体龙纹,沿着龙纹的边绿、角及目眶的边线皆为透雕的线条,铸造极其精丽。"
1,0,中国古代青铜馆,镶嵌狩猎纹豆,镶嵌狩猎纹豆,"11,-5,-40.5",4,1,二级,2,-235,69,45,45,https://img1.imgtp.com/2022/06/06/iRN4MfGp.jpg,"此器满饰奔腾跳跃的猛曾,有猎者张弓而射,有的曾身中数箭,也有猎者持矛投刺走兽,为了夸大猎者的勇猛,将走兽的形象设计得很大"
1,0,中国古代青铜馆,四羊首乳钉雷纹瓶,四羊首乳钉雷纹瓶,"4.5,-8.5,0",1.5,1.5,三级,4,-1100,111,44,44,https://img1.imgtp.com/2022/06/07/d8DXjAmH.jpg,"这件肩上设四个大卷角羊首,立体高耸,颇有气势,这是采用分铸法铸成的。羊首左右配置有弯角长(hui)龙,以此为一组纹饰,每组之间有一棱脊状的立鸟。"
1,0,中国古代青铜馆,四虎镈,四虎镈,"7,-6.5,-17.5",4,1,三级,5,-831,90,38,38,https://img1.imgtp.com/2022/06/07/xMmq9rRQ.jpg,"体较大,剖面呈椭圆形,口部平置。舞上设钮,体前后有突起的鸟纹为棱脊,两侧各置双虎,虎首向下,卷尾。"
1,0,中国古代青铜馆,镶嵌几何云纹方壶,镶嵌几何云纹方壶,"18,-8.5,-37.5",1.5,1.5,二级,4,-349,46,35,35,https://img1.imgtp.com/2022/06/06/EYO7rIs7.jpg,"口略侈,设平顶四式方形素盖,盖四角各设一环,两侧设兽首环耳,铸造精细。整体满饰几何云纹,纹饰安排彼此斜置,没有固定的格式。"
1,0,中国古代青铜馆,亚方罍,亚方罍,"16,-8.5,25",1.5,1.5,二级,4,-789,100,27,27,https://img1.imgtp.com/2022/06/07/WVeAEIi3.jpg,"器的各部分都饰繁密精丽的纹饰,颈及圈定各饰对称的弯角鸟纹,肩部中央设具高浮雕的兽首,两侧配置曲折角龙纹。腹部的主纹是内卷角兽面纹,与上栏的弯角勾鸟纹相配,腹部下栏是外卷角兽面纹,与圈足的鸟纹相配"
1,0,中国古代青铜馆,莲瓣盖龙纹壶,莲瓣盖龙纹壶,"18,-8.5,-32.5",1.5,1.5,二级,4,-1310,74,22,22,https://img1.imgtp.com/2022/06/07/3iJMtSy7.jpg,"器型高大,做口设盖,盖顶有八镂空的莲形,需沿饰一简化的龙纹。颈部自口向下束,长颈鼓,下置高足,足面作镂空形起有离台,在颈设一对龙形,龙作状,回首用,龙角复杂张。"
1,0,中国古代青铜馆,仲义父,仲义父,"-1,-8.5,-6",1.5,1.5,三级,4,-298,78,11,11,https://img1.imgtp.com/2022/06/07/XAsJm7Y5.jpg,"清光绪年间陕西扶风县法门寺任村藏出土。是一种为少见的大型盛酒器,器形像。小口,长颈,广,腹向下逐步收效,平底,外形的圈足虚设。"
